label,original_label,min_intensity,max_intensity,sum_intensity,area,mean_intensity,centroid_x,centroid_y,centroid_z,sum_distance_to_centroid,mean_distance_to_centroid,sum_distance_to_mass_center,mean_distance_to_mass_center,standard_deviation_intensity,max_distance_to_centroid,max_distance_to_mass_center,mean_max_distance_to_centroid_ratio,mean_max_distance_to_mass_center_ratio,avg_distance_of_2_nearest_neigbors,avg_distance_of_3_nearest_neigbors,avg_distance_of_4_nearest_neigbors,touching_neighbor_count
1,1,17,83,3317,53,62.584908,2.2452831,300.43396,0,154.8862,2.9223812,155.8967,2.9414473,18.233738,5.088224,5.248843,1.7411226,1.7844424,9.470325,10.236048,19.355436,2
2,2,43,46,134,3,44.666668,0,456,0,2,0.6666667,2.0149536,0.67165124,1.2472192,1,1.0149536,1.5,1.5111319,21.170738,22.734447,23.647448,0
3,3,43,53,377,8,47.125,0.375,476,0,9.564201,1.1955252,9.564541,1.1955676,3.0181744,2.0348525,2.0436392,1.7020575,1.7093464,15.307045,18.758965,21.61704,0
4,4,18,92,4512,74,60.97297,3.3108106,290.28378,0,243.88322,3.2957191,243.95882,3.2967405,17.689493,5.762306,5.6888175,1.7484215,1.7255884,9.457801,12.13899,23.154902,2
5,5,26,59,3333,73,45.657536,3.630137,404.16437,0,236.91275,3.2453802,236.91006,3.2453434,6.068602,5.5244775,5.5495033,1.702259,1.7099895,24.00865,28.33425,30.850868,0
6,6,25,75,8010,149,53.75839,6.644295,429.56375,0,690.7317,4.635783,690.73517,4.6358066,8.965744,7.539694,7.559916,1.626412,1.630766,24.719425,25.565762,26.272097,0
7,7,23,96,3869,69,56.072464,9.565218,123.46377,0,241.56464,3.5009367,241.60217,3.5014808,18.632463,6.5870805,6.688696,1.8815194,1.9102478,39.131615,42.672832,48.97962,0
8,8,16,100,5272,92,57.304344,9.815217,296.07608,0,337.27954,3.6660817,337.4771,3.6682293,24.497444,6.2290344,6.279365,1.6990987,1.7118245,8.722176,8.909774,19.005539,3
9,9,33,65,3560,67,53.13433,10.313434,479.71643,0,208.2207,3.1077719,208.21925,3.1077502,6.592387,4.8806148,4.8698187,1.5704546,1.5669917,14.701621,18.421703,20.625502,0
10,10,18,78,5000,93,53.76344,13.204301,304.72043,0,342.951,3.687645,343.4314,3.6928108,14.747624,6.3670425,6.395673,1.7265878,1.7319254,10.526231,12.851276,19.720016,1
11,11,30,80,4587,79,58.063293,14.683545,363.8734,0,264.7495,3.3512597,264.74948,3.3512592,11.3888035,5.294109,5.247027,1.579737,1.5656881,20.297447,22.993605,26.378939,0
12,12,22,96,4797,77,62.298702,16.532467,344.9091,0,254.3623,3.3034065,254.39967,3.303892,20.602654,4.9915094,5.042916,1.5110189,1.5263562,21.577732,27.827232,32.547966,0
13,13,19,102,3849,57,67.52631,18.491228,508.77194,0,174.596,3.0630877,176.30923,3.0931444,25.641321,5.9260297,5.866379,1.9346589,1.8965745,15.897696,20.282843,22.758236,1
14,14,33,72,7725,145,53.275864,22.013794,391.29654,0,660.09906,4.5524073,660.11786,4.552537,7.4865236,7.366632,7.348315,1.6181839,1.6141143,20.00196,22.796614,25.772228,0
15,15,16,99,5180,92,56.304344,22.326086,455.2717,0,336.7715,3.6605597,337.23163,3.665561,26.327261,6.32165,6.576459,1.7269627,1.7941208,11.123009,12.601374,15.035521,2
16,16,17,95,5096,85,59.95294,24.270588,445.64706,0,295.1907,3.472832,295.56784,3.4772687,23.895317,5.444703,5.6590242,1.5677992,1.6274337,15.565243,17.659023,19.139727,1
17,17,16,142,8928,116,76.965515,24.586206,467.49136,0,472.75452,4.07547,473.30914,4.080251,48.420563,6.6435394,6.732991,1.6301284,1.6501414,11.850969,14.164869,16.085297,2
18,18,17,115,4852,80,60.65,28.6875,507.5375,0,273.57193,3.4196491,274.2529,3.4281614,32.02776,5.8276515,6.0763116,1.7041665,1.7724695,11.180367,13.763594,17.069193,2
19,19,38,63,3056,60,50.93333,30.499998,2.6,0,180.83221,3.01387,180.86403,3.0144002,5.9072466,5.1971164,5.1955447,1.7243997,1.723575,21.656698,24.734116,27.945,0
20,20,22,79,6639,112,59.276783,31.660713,28.919641,0,446.06445,3.982718,446.06915,3.98276,14.193943,6.079546,6.0348387,1.5264816,1.5152404,21.01078,22.788929,24.208511,0
21,21,27,75,4510,80,56.375,35.7625,359.4375,0,269.3385,3.3667314,269.34183,3.366773,9.799713,5.0963535,5.094769,1.5137392,1.51325,22.820938,25.68714,27.451273,0
22,22,31,72,6597,118,55.90678,34.567795,424.4322,0,481.68225,4.082053,481.7346,4.0824966,9.031008,6.0758643,6.1386857,1.4884334,1.5036597,21.059315,21.814049,22.255997,0
23,23,13,142,9688,128,75.6875,35.273438,463.89844,0,551.35913,4.307493,551.41876,4.307959,45.45804,7.829676,7.752697,1.8176874,1.7996218,13.41656,14.570396,16.255646,1
24,24,17,115,9342,147,63.551018,38.156464,500.0204,0,700.28314,4.7638307,700.30853,4.7640038,23.88128,8.58123,8.536871,1.8013299,1.7919531,12.623791,15.072005,16.68517,1
25,25,21,87,4590,79,58.10127,37.531647,114.55697,0,264.16367,3.343844,264.18896,3.3441641,16.287447,5.082647,5.124567,1.5200012,1.532391,25.000427,29.673157,32.45872,0
26,26,38,64,5862,115,50.97391,39.565216,390.62607,0,466.7626,4.058805,466.79974,4.059128,5.364069,6.499362,6.565087,1.6012994,1.6173639,21.338938,23.472008,25.45889,0
27,27,20,87,7192,119,60.43697,46.058823,46.546215,0,491.17792,4.1275454,491.18884,4.127637,16.003487,6.803924,6.845298,1.648419,1.658406,16.93607,18.877264,20.52109,1
28,28,35,52,2992,72,41.555557,47.708332,154.08333,0,233.42258,3.2419803,233.4422,3.2422528,3.4111292,5.424519,5.483833,1.6732116,1.691365,36.053387,37.51113,38.337204,0
29,29,23,86,4354,75,58.053333,47.280003,5.12,0,253.13025,3.37507,253.584,3.38112,15.76062,6.136186,5.9113407,1.8180915,1.7483381,16.126156,20.239859,22.607172,0
30,30,19,100,2545,37,68.78378,47.54054,509.24323,0,90.0022,2.4324918,90.704704,2.4514785,24.205357,4.868547,5.0560555,2.0014648,2.0624516,10.607594,13.381744,16.171055,1
31,31,37,57,4134,87,47.517242,48.86207,442.86206,0,308.36884,3.5444694,308.36768,3.544456,4.1959534,5.851925,5.834783,1.6510017,1.6461717,16.092747,17.264992,18.557869,0
32,32,16,67,4377,87,50.310345,50.03448,34.70115,0,308.61816,3.5473351,309.5266,3.5577772,13.283219,6.106218,6.453761,1.7213535,1.8139869,13.370588,15.334364,16.794245,1
33,33,30,72,4913,89,55.202244,51.471905,459.15726,0,316.14148,3.5521512,316.1942,3.5527437,11.076019,5.4629135,5.4915876,1.5379169,1.5457314,16.690468,16.785154,19.625813,0
34,34,36,63,8646,165,52.399998,52.81818,71.08485,0,802.3628,4.862805,802.36835,4.8628383,6.0229864,7.8623157,7.9151306,1.6168272,1.6276771,25.649197,28.268894,29.61313,0
35,35,40,61,2888,57,50.666668,53.77193,423.8772,0,167.72871,2.942609,167.73892,2.9427881,5.657887,5.301149,5.2845645,1.8015131,1.7957679,12.791304,15.06403,16.430141,1
36,36,16,100,1560,31,50.32258,55.580643,509.77417,0,82.73758,2.6689541,83.90126,2.7064922,25.614244,5.556266,5.788125,2.0818138,2.1386077,14.013025,16.047285,18.781961,1
37,37,34,67,4106,79,51.974686,55.556965,104.48102,0,265.37845,3.359221,265.3928,3.3594024,6.797197,5.1885815,5.190915,1.5445788,1.54519,21.389301,23.357262,25.330997,0
38,38,36,61,3393,68,49.89706,56.92647,429.41177,0,219.07481,3.2216885,219.15108,3.22281,6.049161,5.9407597,5.8716354,1.8439895,1.8218993,11.02654,13.656504,15.263594,1
39,39,36,56,3514,71,49.492958,58.6338,15.352113,0,226.61217,3.1917207,226.61893,3.1918159,4.1380177,4.959449,4.94517,1.553848,1.5493281,18.027426,19.076248,19.89233,0
40,40,18,141,10836,137,79.09489,61.90511,379.1533,0,605.94324,4.422943,606.0563,4.4237685,46.282993,7.047517,6.981844,1.5933999,1.5782571,25.331676,27.802343,31.276413,0
41,41,38,55,4067,90,45.18889,64.26667,35.344444,0,326.47397,3.6274886,326.46988,3.627443,3.9690313,5.967575,6.014326,1.6450982,1.658007,17.508718,18.621815,19.310781,0
42,42,23,92,6049,101,59.891087,63.49505,404.65347,0,384.35794,3.805524,384.39227,3.805864,14.203541,6.1021695,6.0743933,1.6035031,1.5960616,20.811989,22.391226,23.197126,0
43,43,33,60,3774,81,46.592594,65,492,0,275.90063,3.4061806,275.98764,3.407255,4.393535,5.385165,5.4431176,1.5809982,1.5975082,18.232895,20.334925,22.255219,0
44,44,24,83,5001,86,58.15116,67.87209,454.77908,0,301.02838,3.50033,301.09985,3.501161,14.944484,5.4277587,5.5051622,1.550642,1.5723819,18.709694,19.951962,21.246346,0
45,45,32,75,7604,134,56.74627,74.62687,84.95523,0,583.3859,4.3536263,583.38477,4.3536177,8.806956,6.590878,6.5895977,1.5138824,1.5135913,26.360882,26.671646,27.67585,0
46,46,39,58,4037,84,48.059525,74.940475,313.32144,0,292.67368,3.4842105,292.69296,3.48444,4.036592,5.619873,5.60025,1.6129545,1.6072166,28.79359,32.070908,34.58191,0
47,47,16,137,12484,189,66.05292,74.1799,421.6561,0,1015.0267,5.370512,1018.78174,5.39038,28.129845,9.636081,9.268348,1.7942574,1.7194239,16.67174,17.808233,18.488295,1
48,48,37,70,4432,84,52.761906,74.82143,478.9286,0,290.36774,3.4567587,290.40628,3.4572177,6.875801,5.254387,5.2592854,1.5200329,1.521248,20.739746,24.025112,26.150818,0
49,49,16,84,5416,97,55.83505,75.90721,435.97937,0,360.71088,3.7186687,361.43213,3.7261043,20.214153,5.861695,6.0928483,1.5762886,1.6351793,17.255957,18.318924,20.0461,1
50,50,32,76,5130,91,56.373623,76.45055,111.769226,0,326.797,3.5911756,326.8244,3.5914767,9.274386,5.4554377,5.4895334,1.5191231,1.5284892,18.085835,19.43331,21.293966,0
51,51,27,72,5073,94,53.968082,77.48936,126.744675,0,345.1351,3.67165,345.14578,3.6717634,9.192332,5.7802315,5.8143477,1.5742872,1.5835301,20.246603,22.270367,24.515825,0
52,52,36,61,3896,80,48.7,77.9375,168.02501,0,270.54517,3.3818147,270.5701,3.3821263,4.7916594,5.317847,5.3032594,1.5724832,1.5680252,26.311392,30.102886,32.897854,0
