label,area_filled,perimeter,axis_major_length,axis_minor_length,eccentricity,area,intensity_mean,intensity_max,intensity_min
0,,,,,,,,,
1,59.0,30.69238815542512,13.68307893604205,5.847237388124067,0.9040940873483314,59.0,59.88135593220339,83.0,38.0
2,167.0,45.79898987322333,15.303075797431998,13.912445045820212,0.4165182180001224,167.0,73.63473053892216,123.0,32.0
3,216.0,56.31980515339464,17.971804086143006,15.950203029496532,0.4607833976771775,216.0,61.55555555555556,98.0,34.0
4,466.0,79.35533905932738,28.54416893227873,20.80047701313796,0.6848203366204131,466.0,94.43991416309012,248.0,33.0
5,263.0,58.62741699796952,19.60505594081298,17.187169124851128,0.4810917664996488,263.0,83.77566539923954,174.0,28.0
6,210.0,56.52691193458119,18.101626123288607,15.408978526204132,0.524763114139233,210.0,57.98571428571429,130.0,30.0
7,25.0,18.82842712474619,10.73312629199899,3.0526054445342266,0.9587028273198692,25.0,62.64,82.0,42.0
8,32.0,19.44974746830583,7.920670585551679,5.218402770501374,0.7522888262646757,32.0,42.9375,50.0,36.0
9,156.0,43.79898987322333,15.247862280391333,13.01429448342208,0.5210666280621236,156.0,59.17307692307692,90.0,37.0
10,294.0,63.941125496954285,24.006203751247163,15.696500874772688,0.7566225945580197,294.0,72.6360544217687,205.0,21.0
11,100.0,35.55634918610404,12.229206404899385,10.486415531837745,0.5145015403651128,100.0,54.14,95.0,33.0
12,276.0,60.2842712474619,20.26966767009163,17.385223972605257,0.5141562340372606,276.0,70.39855072463769,113.0,32.0
13,179.0,48.04163056034261,15.7531831912069,14.523842169176085,0.387279461601636,179.0,60.3854748603352,80.0,39.0
14,298.0,62.87005768508881,20.481847023191392,18.60581600616376,0.4180909259430523,298.0,71.60402684563758,141.0,27.0
15,256.0,57.698484809834994,19.567290437492964,16.76025229655483,0.5160734023031918,256.0,82.80859375,144.0,30.0
16,246.0,56.2842712474619,18.490983236156417,16.962338403490293,0.3981271149561803,246.0,69.28455284552845,144.0,31.0
17,249.0,56.62741699796952,19.32311469173824,16.447778986067608,0.5248461820312506,249.0,83.00803212851406,164.0,26.0
