index,shape-type,vertex-index,axis-0,axis-1,axis-2
0,path,0,0.0,1.0,11.0
0,path,1,1.0,0.0,11.0
0,path,2,2.0,1.0,10.0
1,path,0,0.0,1.0,20.0
1,path,1,0.0,0.0,21.0
1,path,2,1.0,1.0,22.0
1,path,3,2.0,1.0,23.0
2,path,0,0.0,3.0,0.0
2,path,1,0.0,3.0,1.0
2,path,2,0.0,3.0,2.0
3,path,0,0.0,4.0,12.0
3,path,1,0.0,5.0,12.0
4,path,0,0.0,7.0,10.0
4,path,1,1.0,7.0,10.0
4,path,2,2.0,7.0,10.0
5,path,0,0.0,7.0,14.0
5,path,1,1.0,7.0,14.0
5,path,2,2.0,6.0,14.0
5,path,3,3.0,5.0,13.0
6,path,0,0.0,10.0,30.0
6,path,1,0.0,11.0,31.0
6,path,2,0.0,12.0,31.0
6,path,3,1.0,13.0,30.0
6,path,4,2.0,13.0,29.0
6,path,5,3.0,13.0,28.0
6,path,6,4.0,13.0,27.0
6,path,7,3.0,14.0,26.0
7,path,0,0.0,11.0,10.0
7,path,1,0.0,12.0,10.0
8,path,0,0.0,12.0,16.0
8,path,1,0.0,13.0,17.0
9,path,0,0.0,12.0,22.0
9,path,1,1.0,11.0,23.0
10,path,0,0.0,17.0,14.0
10,path,1,0.0,17.0,15.0
10,path,2,1.0,16.0,16.0
11,path,0,0.0,18.0,21.0
11,path,1,0.0,19.0,21.0
11,path,2,0.0,20.0,22.0
11,path,3,0.0,21.0,22.0
11,path,4,0.0,22.0,22.0
12,path,0,0.0,20.0,28.0
12,path,1,1.0,20.0,29.0
12,path,2,1.0,21.0,30.0
12,path,3,1.0,21.0,31.0
13,path,0,0.0,21.0,16.0
13,path,1,1.0,21.0,16.0
14,path,0,0.0,25.0,0.0
14,path,1,0.0,26.0,0.0
15,path,0,0.0,26.0,28.0
15,path,1,0.0,27.0,28.0
16,path,0,0.0,30.0,24.0
16,path,1,0.0,31.0,24.0
17,path,0,1.0,2.0,24.0
17,path,1,1.0,3.0,25.0
