Label,ID,Branch spot ID,Spot N links outgoing,Spot N links total,Spot N links incoming,Spot center intensity,Spot ellipsoid aspect ratios short/middle,Spot ellipsoid aspect ratios short/long,Spot ellipsoid aspect ratios middle/long,Spot ellipsoid properties short semi-axis,Spot ellipsoid properties middle semi-axis,Spot ellipsoid properties long semi-axes,Spot ellipsoid volume,frame,Spot intensity mean,Spot intensity std,Spot intensity min,Spot intensity max,Spot intensity median,Spot intensity sum,Spot position X,Spot position Y,Spot position Z,Spot quick mean,Spot radius,Spot track ID,Track N spots
,, ,N outgoing links,Spot N links,N incoming links,Center ch1,Aspect ratio between short and middle semi-axes,Aspect ratio between short and long semi-axes,Aspect ratio between middle and long semi-axes,Short semi-axis,Middle semi-axis,Long semi-axis,Volume, ,Mean ch1,Std ch1,Min ch1,Max ch1,Median ch1,Sum ch1,X,Y,Z,Mean ch1, , ,
,,,,,,(Counts),,,,(pixel),(pixel),(pixel),,,(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(pixel),(pixel),(pixel),(Counts),(pixel),,
0,0,0,1,1,0,1411.45515,0.955140408,0.340595222,0.356591784,4.588339508,4.80383771,13.47153224,1243.796919,0,1175.913043,304.0918638,498,2252,1119,432736,61.3624,76.3489,55.142,1175.913043,6.671450824,0,31
1,1,1,1,1,0,1384.248074,0.69129744,0.466364641,0.674622259,4.242852204,6.137520496,9.097714182,992.365728,0,1101.749141,285.137926,523,2078,1076,320609,113.153,3.23306,67.3405,1101.749141,6.187678151,1,31
2,2,2,1,1,0,1216.20945,0.769282181,0.366054443,0.475838973,4.436144877,5.766602926,12.11881172,1298.597064,0,1085.360526,210.6175967,487,1573,1099,412437,35.741,20.0746,57.8405,1085.360526,6.768024712,2,31
3,3,3,1,1,0,1329.507251,0.747997016,0.334347115,0.446989905,4.369630836,5.84177576,13.06914471,1397.415017,0,1106.646192,260.8461272,545,2052,1091,450405,79.2514,35.2481,56.869,1106.646192,6.935518464,3,31
4,4,4,1,1,0,1214.969992,0.75378777,0.383963657,0.509378995,4.242863636,5.628724431,11.05016988,1105.418237,0,1059.27439,357.4641288,365,2129,1024,347442,143.312,95.9339,77.9575,1059.27439,6.414251808,4,25
5,5,5,1,1,0,1215.913527,0.842137407,0.39494767,0.468982457,4.242854001,5.038196816,10.74282576,961.9231084,0,1073.206107,278.6733134,436,1935,1057,281180,114.927,97.6652,65.717,1073.206107,6.123747139,5,26
6,6,6,1,1,0,1155.680219,0.865773742,0.456018685,0.526718082,4.242852077,4.900647679,9.304118927,810.3548469,0,1021.467593,275.449449,414,1997,1024,220637,129.541,98.1461,70.754,1021.467593,5.783563944,6,24
7,7,7,1,1,0,1294.410731,0.72895147,0.337546867,0.463058079,4.242858728,5.820495472,12.56968776,1300.264263,0,1106.355263,260.0632308,572,2019,1059,420415,36.4096,50.1492,57.4315,1106.355263,6.770919841,7,31
